Seed,PSO,DE,PulseConvexRayGA,P7Fixed,PulseGreedy
Seed 1,2905.458251953125,3000.00244140625,4810.43212890625,3755.357177734375,3012.580322265625
Seed 2,2922.160888671875,3000.002197265625,4809.3408203125,3560.585205078125,3159.7421875
Seed 3,3890.91796875,3000.0029296875,4690.1005859375,3855.849609375,3003.400146484375
Seed 4,3305.1494140625,3000.00244140625,4531.009765625,4437.50830078125,3086.07177734375
Seed 5,2900.000244140625,3000.001953125,5149.47705078125,4032.940673828125,3050.8876953125
