Seed,PSO,DE,PulseConvexRayGA,P7Fixed,PulseGreedy
Seed 1,300.584716796875,651.3818359375,13170.634765625,2268.11474609375,542.7496337890625
Seed 2,300.92364501953125,611.6004028320312,11503.283203125,8351.771484375,346.5401611328125
Seed 3,317.7756042480469,811.9544067382812,18137.310546875,3053.569091796875,302.908935546875
Seed 4,300.03363037109375,685.5181884765625,12997.787109375,7033.50146484375,311.01324462890625
Seed 5,328.17462158203125,745.2041015625,16407.123046875,6031.40625,313.3005676269531
