Seed,PSO,DE,PulseConvexRayGA,P7Fixed,PulseGreedy
Seed 1,2363.85302734375,1828.8905029296875,2167.23779296875,1846.923828125,1829.6923828125
Seed 2,25041.59765625,1827.3814697265625,2361.62255859375,1901.5621337890625,1839.998291015625
Seed 3,20478.91015625,1830.760009765625,974801.4375,1887.51123046875,1839.2215576171875
Seed 4,25131.361328125,1829.754150390625,7797.2392578125,1863.6400146484375,1830.2330322265625
Seed 5,20560.869140625,1822.584716796875,7154.21240234375,1917.4002685546875,1853.4144287109375
