Seed,PSO,DE,PulseConvexRayGA,P7Fixed,PulseGreedy
Seed 1,2027.5654296875,2050.287109375,2086.0966796875,2031.4661865234375,2025.4344482421875
Seed 2,2038.1251220703125,2046.555419921875,2083.81591796875,2038.363037109375,2023.4052734375
Seed 3,2027.77880859375,2042.7086181640625,2053.47412109375,2054.191162109375,2032.74072265625
Seed 4,2044.869873046875,2056.415771484375,2099.593505859375,2034.75048828125,2029.827392578125
Seed 5,2079.82421875,2044.146728515625,2091.4365234375,2042.2781982421875,2024.38720703125
