Seed,PSO,DE,PulseGreedy
Seed 1,1931.7535400390625,1826.682861328125,1830.15234375
Seed 2,25085.40234375,1826.45654296875,1849.0577392578125
Seed 3,4914.984375,1824.4752197265625,1851.4844970703125
Seed 4,24966.46875,1818.3040771484375,1837.9794921875
Seed 5,20075.5625,1826.1031494140625,1850.6337890625
Seed 6,5612.1943359375,1822.73876953125,1900.6817626953125
Seed 7,5669.94140625,1823.1805419921875,1877.9368896484375
Seed 8,25229.744140625,1823.1787109375,1836.3394775390625
Seed 9,1923.9261474609375,1817.374267578125,1865.9324951171875
Seed 10,24760.619140625,1827.5264892578125,1818.82421875
Seed 11,20495.83984375,1824.0604248046875,1819.6639404296875
Seed 12,2475.1767578125,1819.845458984375,1842.9964599609375
Seed 13,24964.193359375,1826.4029541015625,1871.8779296875
Seed 14,20181.35546875,1818.7701416015625,1871.8095703125
Seed 15,25026.802734375,1830.016357421875,1821.153076171875
