Seed,PSO,DE,PulseGreedy
Seed 1,900.0896606445312,900.0001220703125,922.6791381835938
Seed 2,901.087890625,900.0000610351562,925.5416870117188
Seed 3,900.08984375,900.0000610351562,924.4041137695312
Seed 4,906.1058349609375,900.0000610351562,906.657470703125
Seed 5,901.9966430664062,900.0001220703125,920.6549682617188
Seed 6,901.5425415039062,900.0,911.3375854492188
Seed 7,900.5438842773438,900.0,922.8441772460938
Seed 8,901.45263671875,900.0000610351562,900.6622314453125
Seed 9,900.1790771484375,900.0000610351562,920.240478515625
Seed 10,901.5421752929688,900.0000610351562,907.746337890625
Seed 11,903.6281127929688,900.0000610351562,904.0464477539062
Seed 12,900.9088745117188,900.0000610351562,908.7537841796875
Seed 13,902.54052734375,900.0,935.4302978515625
Seed 14,900.7680053710938,900.0000610351562,949.5536499023438
Seed 15,1149.6002197265625,900.0000610351562,904.6726684570312
