Seed,PSO,DE,PulseGreedy
Seed 1,2500.436279296875,2500.478271484375,2500.85205078125
Seed 2,2500.531005859375,2500.561767578125,2500.947998046875
Seed 3,2500.48193359375,2500.4541015625,2501.30029296875
Seed 4,2500.422607421875,2500.56884765625,2500.82373046875
Seed 5,2500.4482421875,2500.554443359375,2500.8134765625
Seed 6,2945.3984375,2500.516357421875,2500.7431640625
Seed 7,2500.501220703125,2500.474609375,2500.902099609375
Seed 8,2500.481201171875,2500.58642578125,2500.73046875
Seed 9,2500.439208984375,2500.4873046875,2501.595947265625
Seed 10,2500.466064453125,2500.50537109375,2501.099853515625
Seed 11,2500.67138671875,2500.512451171875,2501.05126953125
Seed 12,2500.62939453125,2500.49951171875,2501.285400390625
Seed 13,2500.37744140625,2500.505126953125,2500.574951171875
Seed 14,2500.464599609375,2500.52490234375,2500.724365234375
Seed 15,2500.654541015625,2500.50146484375,2500.718017578125
