Seed,PSO,DE,PulseGreedy
Seed 1,2974.916748046875,2938.85888671875,2987.155517578125
Seed 2,2962.576416015625,2933.98388671875,3122.92138671875
Seed 3,2940.35009765625,2933.984130859375,3033.426025390625
Seed 4,2951.6376953125,2940.349609375,3133.602783203125
Seed 5,2946.623779296875,2933.98779296875,3003.236328125
Seed 6,2946.538818359375,2933.974365234375,3026.652099609375
Seed 7,2947.75390625,2933.984130859375,3050.812255859375
Seed 8,2952.609619140625,2933.974365234375,3012.525390625
Seed 9,2971.388916015625,2931.848388671875,3007.372314453125
Seed 10,2949.4853515625,2933.974365234375,3095.506103515625
Seed 11,2944.800048828125,2933.98388671875,3033.316650390625
Seed 12,2945.32470703125,2933.974365234375,3030.976806640625
Seed 13,2955.443115234375,2933.984130859375,3011.05224609375
Seed 14,2955.970458984375,2933.984130859375,3001.780517578125
Seed 15,2948.787353515625,2936.18310546875,2980.83935546875
