Seed,PSO,DE,PulseGreedy
Seed 1,2022.1219482421875,2047.8013916015625,2029.5257568359375
Seed 2,2025.4146728515625,2047.0477294921875,2025.565673828125
Seed 3,2035.4249267578125,2040.0130615234375,2009.9931640625
Seed 4,2025.760009765625,2045.2093505859375,2022.9752197265625
Seed 5,2036.094482421875,2043.090576171875,2029.1141357421875
Seed 6,2053.20947265625,2041.851806640625,2028.9400634765625
Seed 7,2060.391845703125,2037.975830078125,2035.46337890625
Seed 8,2026.6279296875,2046.98046875,2026.4320068359375
Seed 9,2025.0968017578125,2052.57080078125,2019.8594970703125
Seed 10,2058.7998046875,2049.63671875,2008.0723876953125
Seed 11,2023.669677734375,2049.84423828125,2020.509521484375
Seed 12,2045.24609375,2046.46875,2028.72412109375
Seed 13,2031.8162841796875,2045.299560546875,2028.7523193359375
Seed 14,2035.06201171875,2048.4052734375,2024.27392578125
Seed 15,2023.482666015625,2037.3057861328125,2024.931884765625
