Seed,PSO,DE,PulseGreedy
Seed 1,383.30633544921875,861.8493041992188,626.5205688476562
Seed 2,317.89398193359375,683.1395263671875,306.4002380371094
Seed 3,301.4330139160156,836.7902221679688,380.07647705078125
Seed 4,324.3639831542969,949.6967163085938,313.42694091796875
Seed 5,350.40765380859375,701.1246337890625,321.7065734863281
Seed 6,317.2967529296875,725.2014770507812,315.3623352050781
Seed 7,300.76129150390625,702.6099243164062,319.4894714355469
Seed 8,393.88330078125,648.2667236328125,307.1793518066406
Seed 9,326.7384338378906,588.029052734375,337.92413330078125
Seed 10,363.466552734375,680.2435913085938,355.1058044433594
Seed 11,330.1570739746094,619.369873046875,320.67926025390625
Seed 12,307.8166198730469,837.1569213867188,456.36444091796875
Seed 13,300.10650634765625,689.77001953125,307.368408203125
Seed 14,300.1595458984375,910.010009765625,311.8555908203125
Seed 15,303.69110107421875,795.627197265625,472.80096435546875
