Seed,PSO,DE,PulseGreedy
Seed 1,445.6304931640625,444.8954772949219,451.68206787109375
Seed 2,535.3466796875,444.8954772949219,475.2259521484375
Seed 3,449.1602783203125,449.08447265625,472.8243408203125
Seed 4,475.61981201171875,444.8954772949219,458.5423278808594
Seed 5,497.8740539550781,444.8954772949219,470.66070556640625
Seed 6,449.08489990234375,449.08447265625,469.04937744140625
Seed 7,449.1312255859375,444.89544677734375,476.6794128417969
Seed 8,476.0848693847656,444.89544677734375,470.31591796875
Seed 9,449.0858154296875,444.8954772949219,473.3475036621094
Seed 10,445.151611328125,444.89544677734375,455.8037109375
Seed 11,560.109619140625,444.8954772949219,468.4764709472656
Seed 12,497.873779296875,444.8954772949219,472.6739501953125
Seed 13,444.89556884765625,444.8954772949219,470.00054931640625
Seed 14,472.8162841796875,444.8954772949219,475.64276123046875
Seed 15,449.085205078125,444.8954772949219,475.2144470214844
