Seed,PSO,DE,PulseGreedy
Seed 1,2480.781494140625,2480.78125,2482.359619140625
Seed 2,2480.781494140625,2480.78125,2481.265625
Seed 3,2480.78125,2480.78125,2481.0966796875
Seed 4,2480.781494140625,2480.78125,2483.341064453125
Seed 5,2480.781494140625,2480.78125,2481.767333984375
Seed 6,2480.78125,2480.78125,2481.0166015625
Seed 7,2510.33349609375,2480.78125,2481.58544921875
Seed 8,2480.78125,2480.78125,2485.527587890625
Seed 9,2480.781494140625,2480.78125,2483.222412109375
Seed 10,2480.80419921875,2480.78125,2484.454345703125
Seed 11,2480.78125,2480.78125,2481.34521484375
Seed 12,2480.781494140625,2480.78125,2482.141845703125
Seed 13,2480.78125,2480.78125,2482.24951171875
Seed 14,2480.781494140625,2480.78125,2482.463623046875
Seed 15,2480.781494140625,2480.78125,2481.758544921875
