Seed,PSO,DE,PulseGreedy
Seed 1,824.8740234375,903.9507446289062,828.8599853515625
Seed 2,841.5352783203125,912.7703247070312,826.5143432617188
Seed 3,858.7022705078125,909.286865234375,838.84033203125
Seed 4,848.7529296875,912.550537109375,839.806884765625
Seed 5,827.8588256835938,879.8111572265625,825.9275512695312
Seed 6,826.8638916015625,905.94189453125,847.910888671875
Seed 7,820.885986328125,899.8724975585938,838.829345703125
Seed 8,829.8487548828125,901.8386840820312,824.6823120117188
Seed 9,864.1878662109375,890.2924194335938,839.07275390625
Seed 10,827.85888671875,899.8259887695312,821.4091796875
Seed 11,842.7982177734375,911.1692504882812,830.86962890625
Seed 12,824.8739624023438,886.3798217773438,832.8502197265625
Seed 13,849.747802734375,902.302978515625,836.2581176757812
Seed 14,843.778076171875,905.5106811523438,828.9083251953125
Seed 15,832.09619140625,903.5792846679688,839.0521240234375
