Seed,PSO,DE,PulseGreedy
Seed 1,606.1307373046875,600.0632934570312,624.8858642578125
Seed 2,601.5778198242188,600.060302734375,605.642822265625
Seed 3,603.18310546875,600.0771484375,609.4577026367188
Seed 4,603.5220336914062,600.0897827148438,603.5759887695312
Seed 5,611.1187133789062,600.07666015625,610.5211181640625
Seed 6,607.1690673828125,600.0797119140625,606.8400268554688
Seed 7,605.322509765625,600.0648803710938,603.0076904296875
Seed 8,607.439208984375,600.0584106445312,608.8435668945312
Seed 9,606.2638549804688,600.0921630859375,609.1478271484375
Seed 10,615.1364135742188,600.0411376953125,614.8067016601562
Seed 11,603.2534790039062,600.0798950195312,610.05908203125
Seed 12,608.829833984375,600.0548706054688,609.29150390625
Seed 13,605.1541137695312,600.0596923828125,604.6093139648438
Seed 14,614.7942504882812,600.0900268554688,610.942626953125
Seed 15,610.8232421875,600.1112060546875,611.1015014648438
